,Канавинский мост 1,Канавинский мост 2,Вокзал,Метромост 1,Метромост 2,Молитовский мост 1,Молитовский мост 2,Мызинский мост 2,Борский мост 1,Борский мост 2,Паромная переправа 1,Паромная переправа 2,Памятник Горькому,Борский музей военной техники,Борский краеведческий музей,Неклюдово,Музей Сахарова,Зоопарк,Копосовская дубрава,Стрелка,Собор Александра Невского,Нижегородская ярмарка,Мещерское озеро,Парк 1 мая,Нижегородский планетарий,Спасский Староярмарочный собор,Кремль,Памятник Минину и Пожарскому,Чкаловская лестница,Рождественская церковь,Домик Петра 1,Набережная Федоровского,Усадьба Рукавишниковых,Церковь Рождества Иоанна Предтечи на Торгу,Благовещенский монастырь,Нижне-Волжская набережная,Большая Покровская улица,Большая Покровская улица 2,Площадь Минина и Пожарского,Обзорная площадка на Гремячей горе,Музей истории художественных промыслов,Никольский собор,Музей «Паровозы России»,Русский музей фотографии,Литературный музей им. Горького,Музей народов Нижегородского поволжья,Щёлоковский хутор,Святой источник Пафнутия Балахнинского,Перекресток 1,Перекресток 2,Перекресток 3,Перекресток 4,Мызинский мост 1,Перекресток 5,Перекресток 6,Перекресток 7,Перекресток 8
Церковь Рождества Иоанна Предтечи на Торгу,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,3,-,0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Благовещенский монастырь,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3
Нижне-Волжская набережная,4,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Большая Покровская улица,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3
Большая Покровская улица 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3
Площадь Минина и Пожарского,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,5,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
Обзорная площадка на Гремячей горе,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,3,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Музей истории художественных промыслов,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Никольский собор,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-
Музей «Паровозы России»,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,4,6,-,-,-,-,-,-,-
